Sr.No,Change Control ,DA/Legacy,Zone/VLAN,OS Type,OS Version,Environment,Host Name,DNS Name,Domain,Production IP,Management IP,Secondary IP,Virtual  IP,ILO IP,Status,Function/Service,Function Types,Asset Type,Asset Owner,Department,"Hardware 
Category",Serial Number,Manfucaturer,Model,TP Counter Part,OSQ
11,25-Aug-2021,DA,Non-Exposed,Red Hat,RHEL 8.3,Stagging,A0310B2BUATWRK02,A0310B2BUATWRK02,Red Hat,10.96.5.229,172.28.5.133,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,Worker Server ,Application,Enterprise Applications,Mohib Abbas/Khalid Hayat,TP IT,VM,#N/A,#N/A,#N/A,Amena Shakil  amena.shakil@telenor.com.pk,#N/A
12,25-Aug-2021,DA,Secure,Red Hat,RHEL 7.9,Stagging,A0310BKPTEST01,zeeshan.telenor.com.pk,Red Hat,10.14.6.198,172.31.232.136,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,Development & Test,Development & Test,Development & Test,Cloud Infra Operations Team,Infra Ops,VM,#N/A,#N/A,#N/A,Rafi Ullah Marwat / Muhammad Ali Raza,#N/A
13,25-Aug-2021,DA,Non-Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Development & Test,A0310DNBISASCM1,A0310DNBISASCM1.TNBSS.com.pk,TNBSS,10.13.6.221,172.31.229.216,#N/A,#N/A,#N/A,Powered On,SAS RTDM Dev 1,Application,BI Applications,Saqib,BI,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mustafa Khalid Khan,#N/A
14,25-Aug-2021,DA,Non-Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Development & Test,A0310DNBISASCM2,A0310DNBISASCM2.TNBSS.com.pk,TNBSS,10.13.6.217,172.31.229.217,#N/A,#N/A,#N/A,Powered On,SAS RTDM Dev 2,Application,BI Applications,Saqib,BI,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mustafa Khalid Khan,#N/A
15,25-Aug-2021,DA,Non-Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Development & Test,A0310DNBISASCM3,A0310DNBISASCM3.TNBSS.com.pk,TNBSS,10.13.6.218,172.31.229.213,#N/A,#N/A,#N/A,Powered On,SAS RTDM Dev 3,Application,BI Applications,Saqib,BI,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mustafa Khalid Khan,#N/A
16,25-Aug-2021,DA,Non-Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Development & Test,A0310DNBISASCM4,A0310DNBISASCM4.TNBSS.com.pk,TNBSS,10.13.6.219,172.31.229.214,#N/A,#N/A,#N/A,Powered On,SAS RTDM Dev 4,Application,BI Applications,Saqib,BI,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mustafa Khalid Khan,#N/A
17,25-Aug-2021,DA,Non-Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Development & Test,A0310DNBISASCM5,A0310DNBISASCM5.TNBSS.com.pk,TNBSS,10.13.6.220,172.31.229.215,#N/A,#N/A,#N/A,Powered On,SAS RTDM Dev 5,Application,BI Applications,Saqib,BI,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mustafa Khalid Khan,#N/A
18,25-Aug-2021,DA,Non-Exposed,Red Hat,RHEL 7.7,Development & Test,A0310DNDAASDEV1,A0310DNDAASDEV1,Red Hat,10.13.18.133,172.31.244.37,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,Development & Test,Application,Development & Test,kashif.shahzad,Enterprise Product,VM,#N/A,#N/A,#N/A,kashif Shahzad,#N/A
19,25-Aug-2021,DA,Non-Exposed,Red Hat,RHEL 7.7,Development & Test,A0310DNDAASDEVDB01,A0310DNDAASDEVDB01,Red Hat,10.13.18.134,172.31.244.38,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,Development & Test,DB server,Development & Test,kashif.shahzad,Enterprise Product,VM,#N/A,#N/A,#N/A,kashif Shahzad,#N/A
20,25-Aug-2021,DA,Management,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310MPAW01,A0310MPAW01.tnjhs.com.pk,TNJHS,#N/A,172.31.215.165,172.31.215.165,#N/A,#N/A,Powered On,PAW,Jump host,Enterprise Applications,EAO,EAO ,Physical,SGH546WDSF,HP,HP Proliant BL660c Gen9,Mohammad Ali Raza,#N/A
21,25-Aug-2021,DA,Management,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310MPAW02,A0310MPAW02.tnjhs.com.pk,TNJHS,#N/A,172.31.215.166,172.31.215.166,#N/A,#N/A,Powered On,PAW,Jump host,Enterprise Applications,EAO,EAO ,Physical,SGH546WDW8,HP,HP Proliant BL660c Gen9,Mohammad Ali Raza,#N/A
22,25-Aug-2021,DA,Non-Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310NTRFT01,A0310NTRFT01.tnpak.com.pk,TNPAK,10.13.15.69,172.31.240.135,172.31.240.135,#N/A,#N/A,Powered On,FTP,File Server,Enterprise Applications,EAO,EAO ,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mohammad Ali Raza,#N/A
23,25-Aug-2021,DA,Non-Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310NTRPRP01,A0310NTRPRP01.vendor.tnpak.com.pk,TNPAK,10.13.0.46,172.31.200.46,172.31.200.46,#N/A,#N/A,Powered On,FTP,File Server,Enterprise Applications,EAO,EAO ,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mohammad Ali Raza,#N/A
24,25-Aug-2021,DA,Management,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PADSDCS01,A0310PADSDCS01.tnpak.com.pk,TNPAK,#N/A,172.31.212.4,172.31.212.4,#N/A,#N/A,Powered On,DC,Domain Controller,Enterprise Applications,EAO,EAO ,Physical,SGH543YKAA,HP,HP Proliant BL660c Gen9,Mohammad Ali Raza,#N/A
25,25-Aug-2021,DA,IP-Core,Red Hat,RHEL 7.3,Production,A0310PCFTP01,A0310PCFTP01,Red Hat,#N/A,10.248.20.212,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered Off,ftp services,Application,BI Applications,Ridha Anwar ,VAS Ops,VM,#N/A,#N/A,#N/A,Ridha Anwar ,#N/A
26,25-Aug-2021,DA,IP-Core,Red Hat,RHEL 7.9,Production,A0310PCSYSLOG01,A0310PCSYSLOG01,Red Hat,10.248.170.5,10.248.20.218,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,Syslogger,Application,Enterprise Applications,Sufyan Aslam / Arslan Zahoor,Cloud & DC Planning,VM,#N/A,#N/A,#N/A,Sufyan Aslam / Arslan Zahoor,#N/A
27,25-Aug-2021,DA,Exposed,Red Hat,RHEL 7.7,Production,A0310PEADMWEB01,A0310PEADMWEB01,Red Hat,10.12.8.70,172.31.227.85,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,ADM_Tool Identity Server,Webserver,Enterprise Applications,Mudassar Saleh,Sec Ops,VM,#N/A,#N/A,#N/A,Muhammad Ali Raza,#N/A
28,25-Aug-2021,DA,Exposed,Red Hat,RHEL 7.6,Production,A0310PEAPIGWDEV01,a0310peapigwdev01.tnbss.com.pk,Red Hat,10.12.1.108,172.31.197.103,No Secondary IP Per VMWare Record / Shared,10.12.1.103,#N/A,Powered On,APIGW Development Portal,Test,OSS/BSS Applications,Sajid Anwar ,VAS Ops,VM,#N/A,#N/A,#N/A,Sajid Anwar ,#N/A
29,25-Aug-2021,DA,Exposed,Red Hat,RHEL 7.4,Production,A0310PEAPIGWEDGE01,a0310peapigwedge01.tnbss.com.pk,Red Hat,10.12.1.106,172.31.197.101,No Secondary IP Per VMWare Record / Shared,10.12.1.103,#N/A,Powered On,APIGW,Application,OSS/BSS Applications,Sajid Anwar ,VAS Ops,VM,#N/A,#N/A,#N/A,Sajid Anwar ,#N/A
30,25-Aug-2021,DA,Exposed,Red Hat,RHEL 7.6,Production,A0310PEAPIGWEDGE02,a0310peapigwedge02.tnbss.com.pk,Red Hat,10.12.1.107,172.31.197.102,No Secondary IP Per VMWare Record / Shared,10.12.1.103,#N/A,Powered On,APIGW,Application,OSS/BSS Applications,Sajid Anwar ,VAS Ops,VM,#N/A,#N/A,#N/A,Sajid Anwar ,#N/A
31,25-Aug-2021,DA,Exposed,Red Hat,RHEL 7.6,Production,A0310PEAPIGWEDGE03,a0310peapigwedge03.tnbss.com.pk,Red Hat,10.12.1.109,172.31.197.104,No Secondary IP Per VMWare Record / Shared,10.12.1.103,#N/A,Powered On,APIGW,Application,OSS/BSS Applications,Sajid Anwar ,VAS Ops,VM,#N/A,#N/A,#N/A,Sajid Anwar ,#N/A
32,25-Aug-2021,DA,Exposed,Red Hat,RHEL 7.4,Production,A0310PEAPIGWEDGE04,a0310peapigwedge04.tnbss.com.pk,Red Hat,10.12.1.110,172.31.197.105,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,APIGW,Application,OSS/BSS Applications,Sajid Anwar ,VAS Ops,VM,#N/A,#N/A,#N/A,Sajid Anwar ,#N/A
33,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PEAPOAPP01,A0310PEAPOAPP01.tnbss.com.pk,TNBSS,10.12.3.100,172.31.226.5,172.31.226.5,#N/A,#N/A,Powered On,Appolo,Application,OSS/BSS Applications,Haseeb Shah,SND,VM,#N/A,"VMware, Inc.","VMware, Inc.",Awais Sabir,#N/A
34,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PEAPOWEB01,A0310PEAPOWEB01.tnbss.com.pk,TNBSS,10.12.3.110,172.31.226.7,172.31.226.7,#N/A,#N/A,Powered On,Web Server (DMZ),Webserver,OSS/BSS Applications,Haseeb Shah,SND,VM,#N/A,"VMware, Inc.","VMware, Inc.",Awais Sabir,#N/A
35,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PEAPOWEB02,A0310PEAPOWEB02.tnbss.com.pk,TNBSS,10.12.3.111,172.31.226.8,172.31.226.8,#N/A,#N/A,Powered On,Web Server (DMZ),Webserver,OSS/BSS Applications,Haseeb Shah,SND,VM,#N/A,"VMware, Inc.","VMware, Inc.",Awais Sabir,#N/A
36,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PEASSMGT1,A0310PEASSMGT1.TNBSS.COM,TNBSS,10.12.2.135,172.31.199.135,#N/A,#N/A,#N/A,Powered On,OSS/BSS Applications,Application,OSS/BSS Applications,Asif Khan,IS,VM,#N/A,"VMware, Inc.","VMware, Inc.",Muhammad Asif Khan,#N/A
37,25-Aug-2021,DA,Exposed,Red Hat,RHEL 7.7,Production,A0310PEAUXOWEB01,A0310PEAUXOWEB01,Red Hat,10.12.7.197,172.31.227.37,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,B2C Auxo,Webserver,Enterprise Applications,Umer Shehbaz / Mewish Mujtaba / Naeem Ur Rehman,B2B Commercial,VM,#N/A,#N/A,#N/A,Mewish Mujtaba / Naeem Ur Rehman,#N/A
38,25-Aug-2021,DA,Exposed,Red Hat,RHEL 7.4,Production,A0310PEB2BPRX01,A0310PEB2BPRX01,Red Hat,10.12.6.133,172.31.225.69,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,B2B Portal,Proxy,OSS/BSS Applications,Nabeel Javed / Sufyan Bin Azam,SED,VM,#N/A,#N/A,#N/A,Nabeel Javed / Sufyan Bin Azam,#N/A
39,25-Aug-2021,DA,Exposed,Red Hat,RHEL 7.6,Production,A0310PEBIAPIWS1,A0310PEBIAPIWS1,Red Hat,10.12.1.42,172.31.199.5,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,BI_API_GW-1,BI Digital,BI Applications,Mustafa Khalid Khan / Anas Mhmood / Anas Sabir,BI-DWH,VM,#N/A,#N/A,#N/A,Mustafa Khalid Khan / Anas Mhmood / Anas Sabir,#N/A
40,25-Aug-2021,DA,Exposed,Red Hat,RHEL 7.4,Production,A0310PEBIAPIWS2,A0310PEBIAPIWS2,Red Hat,10.12.1.43,172.31.199.6,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,BI_API_GW-2,BI Digital,BI Applications,Anas.sabir,BI-DWH,VM,#N/A,#N/A,#N/A,Anas Sabir ,#N/A
41,25-Aug-2021,DA,Exposed,Red Hat,RHEL 7.4,Production,A0310PEBIPXY01,A0310PEBIPXY01,Red Hat,10.12.4.138,172.31.226.148,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,BI Proxy,Proxy,BI Applications,Anas Mehmood / Kashif Shahzad Malik / Mehwish Mujtaba,#N/A,VM,#N/A,#N/A,#N/A,Anas Mehmood / Anas Sabir,#N/A
42,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2016 R2 (64-bit),Production,A0310PEBUFTPS01,A0310PEBUFTPS01.tnbss.com.pk,TNBSS,10.12.8.5,172.31.249.68,#N/A,#N/A,#N/A,Powered On,FTP,FTP,BI Applications,Tabish Zafar,BI,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mustafa Khalid Khan,#N/A
43,25-Aug-2021,DA,Exposed,Linux Applicance,Other 3.x or later Linux (64-bit),Production,A0310PECDA01,A0310PECDA01,Linux Applicance,10.12.0.5,#N/A,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered Off,WSA-CDA (User to IP Mapping),Management (Provisioning),Enterprise Applications,CDN Team / Syed Imran Ali ,Network Ops,VM,#N/A,#N/A,#N/A,Muhammad Ali Raza,#N/A
44,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PECOMMED04,#N/A,WorkGroup,10.12.5.107,172.31.220.171,172.31.220.171,#N/A,#N/A,Powered On,OSS/BSS Applications,Application,OSS/BSS Applications,Athar Mahmood,Infra,Physical,SGH835V0MG,HP,HP Proliant BL660c Gen9,Mohammad Ali Raza,#N/A
45,25-Aug-2021,DA,Exposed,Red Hat,RHEL 7.7,Production,A0310PECSDBRDPK,A0310PECSDBRDPK,Red Hat,10.12.5.12,172.31.227.20,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,CS DASHBOARD Weather Update,Application,Enterprise Applications,Rehan.hanif-as,Corporate Security,VM,#N/A,#N/A,#N/A,atif.saleem@telenor.com.pk,#N/A
46,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PEDNS01,NS3.telenor.com.pk,WorkGroup,10.12.0.69,172.31.196.69,#N/A,#N/A,#N/A,Powered On,NTP,DNS,Enterprise Applications,EAO,EAO ,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mohammad Ali Raza,#N/A
47,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PEDNS02,NS4.telenor.com.pk,WorkGroup,10.12.0.70, 172.31.196.70,#N/A,#N/A,#N/A,Powered On,NTP,DNS,Enterprise Applications,EAO,EAO ,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mohammad Ali Raza,#N/A
48,25-Aug-2021,DA,Exposed,Red Hat,RHEL 7.4,Production,A0310PEDSSBAPP01,A0310PEDSSBAPP01,Red Hat,10.12.6.68,172.31.225.4,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,DSSB-Kalsym,Application,Enterprise Applications,Umer Shahzad Nauman / Mujtaba  Muhammad ,BI,VM,#N/A,#N/A,#N/A,Mujtaba  Muhammad ,#N/A
49,25-Aug-2021,DA,Exposed,SLES,SUSE Linux Enterprise 11 (64-bit),Production,A0310PEESRS1,A0310PEESRS1,SLES,10.12.2.196,172.31.249.163,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,ESRS INFRA (EMC Storage Mgmt),Management (Provisioning),Enterprise Applications,Cloud Infra Operations Team,Infra Ops,VM,#N/A,#N/A,#N/A,Rafi Ullah Marwat / Muhammad Ali Raza,#N/A
50,25-Aug-2021,DA,Exposed,VMWare ESX Server,VMWare ESXI 6.0,Not in Production,A0310PEESX01,A0310PEESX01,ESX,Not Required ,172.31.198.11,No Secondary IP Per VMWare Record / Shared,#N/A,172.31.213.104,Powered On,ESXi,ESX Host,Enterprise Applications,Cloud Infra Operations Team,Infra Ops,Physical,SGH552YFDW,HP,HP Proliant BL660c Gen9,Rafi Ullah Marwat / Muhammad Ali Raza,#N/A
51,25-Aug-2021,DA,Exposed,VMWare ESX Server,VMWare ESXI 6.0,Not in Production,A0310PEESX02,A0310PEESX02,ESX,Not Required ,172.31.198.12,No Secondary IP Per VMWare Record / Shared,#N/A,172.31.213.105,Powered On,ESXi,ESX Host,Enterprise Applications,Cloud Infra Operations Team,Infra Ops,Physical,SGH552YFDN,HP,HP Proliant BL660c Gen9,Rafi Ullah Marwat / Muhammad Ali Raza,#N/A
52,25-Aug-2021,DA,Exposed,VMWare ESX Server,VMWare ESXI 6.5 U3 Build: 15256549,Production,A0310PEESX03,A0310PEESX03,ESX,Not Required ,172.31.198.13,No Secondary IP Per VMWare Record / Shared,#N/A,172.31.213.112,Powered On,ESXi,ESX Host,Enterprise Applications,Cloud Infra Operations Team,Infra Ops,Physical,SGH942WZJG,HP,HP ProLiant DL360 Gen10,Rafi Ullah Marwat / Muhammad Ali Raza,#N/A
53,25-Aug-2021,DA,Exposed,VMWare ESX Server,VMWare ESXI 6.5 U3 Build: 15256549,Production,A0310PEESX04,A0310PEESX04,ESX,Not Required ,172.31.198.14,No Secondary IP Per VMWare Record / Shared,#N/A,172.31.213.113,Powered On,ESXi,ESX Host,Enterprise Applications,Cloud Infra Operations Team,Infra Ops,Physical,SGH942WZJD,HP,HP ProLiant DL360 Gen10,Rafi Ullah Marwat / Muhammad Ali Raza,#N/A
54,25-Aug-2021,DA,Exposed,VMWare ESX Server,VMWare ESXI 6.5 U3 Build: 15256549,Production,A0310PEESX05,A0310PEESX05,ESX,Not Required ,172.31.198.15,No Secondary IP Per VMWare Record / Shared,#N/A,172.31.213.200,Powered On,ESXi,ESX Host,Enterprise Applications,Cloud Infra Operations Team,Infra Ops,Physical,SGH021S2NK,HPE,HPE DL360 GEN10,Rafi Ullah Marwat / Muhammad Ali Raza,#N/A
55,25-Aug-2021,DA,Exposed,VMWare ESX Server,VMware ESXi 6.5.0 build-17097218,Production,A0310PEESXVAS01,A0310PEESXVAS01,ESX,Not Required ,172.31.198.10,No Secondary IP Per VMWare Record / Shared,#N/A,172.31.213.198,Powered On,ESXi,ESX Host,Enterprise Applications,Suhail Ansari/ Athar Mahmood,Infra Ops,Physical,#N/A,#N/A,#N/A,Muhammad Ali Raza,#N/A
56,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PEEUCDNS1,A0310PEEUCDNS1,WorkGroup,10.12.2.228,172.31.199.228,#N/A,#N/A,#N/A,Powered On,NTP,NTP,Enterprise Applications,EAO,EAO ,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mohammad Ali Raza,#N/A
57,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PEEUCDNS2,A0310PEEUCDNS2,WorkGroup,10.12.2.229,172.31.199.229,#N/A,#N/A,#N/A,Powered On,NTP,NTP,Enterprise Applications,EAO,EAO ,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mohammad Ali Raza,#N/A
58,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PEFRNDNS1,A0310PEFRNDNS1,WorkGroup,10.12.3.4,172.31.220.4,#N/A,#N/A,#N/A,Powered On,NTP,NTP,Enterprise Applications,EAO,EAO ,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mohammad Ali Raza,#N/A
59,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PEFRNDNS2,A0310PEFRNDNS2,WorkGroup,10.12.3.5,172.31.220.5,#N/A,#N/A,#N/A,Powered On,NTP,NTP,Enterprise Applications,EAO,EAO ,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mohammad Ali Raza,#N/A
60,25-Aug-2021,DA,Exposed,Red Hat,RHEL 7.4,Production,A0310PEFTPAPP01,A0310PENESS01,Red Hat,10.12.5.3,172.31.226.195,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,Fusion Migration FTP Server,Application,OSS/BSS Applications,Muhammad Shuja Qureshi ,Sec Ops,VM,#N/A,#N/A,#N/A,Muhammad Ali Raza,#N/A
61,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PELEGVPNJH1,A0310PELEGVPNJH1,WorkGroup,10.12.7.68,172.31.226.244,#N/A,#N/A,#N/A,Powered On,Legacy VPN,Network Management,Enterprise Applications,Zaigham Abbas,CDN,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mohammad Ali Raza,#N/A
62,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PELOCWEB1,A0310PELOCWEB1.tnbss.com.pk,TNBSS,10.12.7.228,172.31.227.54,#N/A,#N/A,#N/A,Powered On,Locator,Webserver,Enterprise Applications,Asim Mukhtar,Digital Application & Software Development,VM,#N/A,"VMware, Inc.","VMware, Inc.",Fahad Mehmood Chughtai,#N/A
63,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PEMBXAPP01,A0310PEMBXAPP01.TNBSS.com.pk,TNBSS,10.12.4.42,172.31.226.100,#N/A, 10.12.4.48,#N/A,Powered On,MagicBox,Application,OSS/BSS Applications,Asim Mukhtar,CRM,VM,#N/A,"VMware, Inc.","VMware, Inc.",Fahad Mehmood Chughtai,#N/A
64,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PEMBXAPP02,A0310PEMBXAPP02.TNBSS.com.pk,TNBSS,10.12.4.43,172.31.226.101,#N/A, 10.12.4.48,#N/A,Powered On,MagicBox,Application,OSS/BSS Applications,Asim Mukhtar,CRM,VM,#N/A,"VMware, Inc.","VMware, Inc.",Fahad Mehmood Chughtai,#N/A
65,25-Aug-2021,DA,Exposed,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0310PEMBXAPP03,A0310PEMBXAPP03.TNBSS.com.pk,TNBSS,10.12.4.44,172.31.226.102,#N/A,#N/A,#N/A,Powered On,MagicBox,Application,OSS/BSS Applications,Asim Mukhtar,CRM,VM,#N/A,"VMware, Inc.","VMware, Inc.",Fahad Mehmood Chughtai,#N/A
